-1.02333455e+00,-8.24549776e+00,-1.53500182e+00,-8.61724579e+00,-8.27895040e-01,-7.64399680e+00,-1.33956231e+00,-8.01574484e+00
-2.16745735e+00,-8.61724579e+00,-1.53500182e+00,-8.61724579e+00,-2.67912463e+00,-8.24549776e+00,-2.04666909e+00,-8.24549776e+00
-1.53500182e+00,-8.61724579e+00,-2.04666909e+00,-8.24549776e+00,-1.33956231e+00,-8.01574484e+00,-1.85122959e+00,-7.64399680e+00
-3.31158016e+00,-8.24549776e+00,-2.67912463e+00,-8.24549776e+00,-3.82324743e+00,-7.87374972e+00,-3.19079190e+00,-7.87374972e+00
-2.67912463e+00,-8.24549776e+00,-2.04666909e+00,-8.24549776e+00,-2.48368512e+00,-7.64399680e+00,-1.85122959e+00,-7.64399680e+00
-2.67912463e+00,-8.24549776e+00,-3.19079190e+00,-7.87374972e+00,-2.48368512e+00,-7.64399680e+00,-2.99535239e+00,-7.27224877e+00
-4.01868694e+00,-7.27224877e+00,-3.82324743e+00,-7.87374972e+00,-3.82324743e+00,-6.67074781e+00,-3.62780792e+00,-7.27224877e+00
-3.82324743e+00,-7.87374972e+00,-3.19079190e+00,-7.87374972e+00,-3.62780792e+00,-7.27224877e+00,-2.99535239e+00,-7.27224877e+00
8.27895040e-01,-7.64399680e+00,1.46035057e+00,-7.64399680e+00,1.02333455e+00,-7.04249585e+00,1.65579008e+00,-7.04249585e+00
8.27895040e-01,-7.64399680e+00,3.16227766e-01,-7.27224877e+00,1.02333455e+00,-7.04249585e+00,5.11667274e-01,-6.67074781e+00
-3.16227766e-01,-7.27224877e+00,3.16227766e-01,-7.27224877e+00,-8.27895040e-01,-7.64399680e+00,-1.95439508e-01,-7.64399680e+00
-3.16227766e-01,-7.27224877e+00,3.16227766e-01,-7.27224877e+00,-1.20788258e-01,-6.67074781e+00,5.11667274e-01,-6.67074781e+00
